,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
125,2023-09-25,33230.0,33068.08297434919,33055.0,-0.019872615878748265,-0.010127384121251668,0,0,0,0,0,0.07143849569682748
126,2023-09-26,32620.0,33158.78796673333,33190.0,0.001517105050071646,-0.03151710505007149,0,0,0,0,0,0.05177019950738826
127,2023-09-27,32480.0,33277.45554343972,33200.0,0.009552202692109662,-0.03955220269210959,0,0,0,0,0,0.047256164316369365
128,2023-10-04,32235.0,32680.108587600167,32675.0,-0.0011917608934335576,-0.028808239106566418,0,0,0,0,0,0.03935660273208641
129,2023-10-05,32060.0,32535.349986922065,32190.0,-0.00017311332120813528,-0.029826886678791843,0,0,0,0,0,0.0337140587433129
130,2023-10-06,32405.0,32299.68002099837,32220.0,-0.018250115074884332,-0.0117498849251156,0,0,0,0,0,0.0448379311783238
131,2023-10-10,32595.0,32127.02063604049,32165.0,-0.02935739726827746,-0.0006426027317223832,0,0,0,0,0,0.05096412179470633
132,2023-10-11,32865.0,32471.374525027742,32475.0,-0.026977041684839678,-0.003022958315160343,0,0,0,0,0,0.059669761091671214
133,2023-10-12,32755.0,32654.28685663023,32655.0,-0.018074741058457206,-0.011925258941542729,0,0,0,0,0,0.05612301915587059
134,2023-10-13,32610.0,32925.52254084893,32920.0,-0.005324362439468458,-0.024675637560531406,0,0,0,0,0,0.051447768422315354
135,2023-10-16,32750.0,32823.28049937975,32775.0,-0.012762427499855048,-0.017237572500144953,0,0,0,0,0,0.05596180361333425
136,2023-10-17,32835.0,32668.885656310296,32610.0,-0.020059063307132568,-0.0099409366928673,0,0,0,0,0,0.05870246783645272
137,2023-10-18,32635.0,32812.007099923925,32720.0,-0.00957615750194788,-0.020423842498051986,0,0,0,0,0,0.052253846134997284
138,2023-10-19,32175.0,32890.42135872417,32860.0,0.007235318064465331,-0.03723531806446522,0,0,0,0,0,0.037422016221649645
139,2023-10-20,31905.0,32694.456321678157,32625.0,0.009743968709548974,-0.0397439687095489,0,0,0,0,0,0.02871637692468476
140,2023-10-23,31920.0,32243.6323824739,32155.0,-0.004861140899940305,-0.025138859100059537,0,0,0,0,0,0.029200023552294008
141,2023-10-24,32105.0,31972.0741528902,31925.0,-0.019140347207905223,-0.010859652792094708,0,0,0,0,0,0.03516499862614042
142,2023-10-25,31355.0,31984.24066916345,31925.0,0.005068272019245815,-0.03506827201924575,0,0,0,0,0,0.010982667245682531
