,date,open
1184,20230801,34885
1185,20230802,34935
1186,20230803,34365
1187,20230804,34270
1188,20230807,34195
1189,20230808,34145
1190,20230809,34070
1191,20230810,34045
1192,20230811,34320
1193,20230814,33865
1194,20230816,33415
1195,20230817,32860
1196,20230818,32845
1197,20230821,33010
1198,20230822,33170
1199,20230823,32975
1200,20230824,33460
1201,20230825,33075
1202,20230828,33170
1203,20230829,33445
1204,20230830,33760
1205,20230831,33640
1206,20230901,33605
1207,20230904,33995
1208,20230905,34095
1209,20230906,34060
1210,20230907,33770
1211,20230908,33700
1212,20230911,33645
1213,20230912,33855
1214,20230913,33790
1215,20230914,33795
1216,20230915,34270
1217,20230918,34425
1218,20230919,34155
1219,20230920,33910
1220,20230921,33765
1221,20230922,33010
1222,20230925,33125
1223,20230926,33060
1224,20230927,32810
1225,20231004,32175
1226,20231005,32120
1227,20231006,32135
1228,20231010,32550
1229,20231011,32715
1230,20231012,32910
1231,20231013,32875
1232,20231016,32720
1233,20231017,32755
1234,20231018,32860
1235,20231019,32520
1236,20231020,32025
1237,20231023,31980
1238,20231024,31860
1239,20231025,32030
1240,20231026,31395
