date,krx_close,krx_diff,krx_return,PER,PBR,Dividend_Yield
2019-04-02,281.72,1.4,0.5,9.23,0.95,1.85
2019-04-03,285.65,3.93,1.4,9.36,0.97,1.82
2019-04-04,286.15,0.5,0.18,9.38,0.97,1.82
2019-04-05,286.68,0.53,0.19,9.4,0.97,1.81
2019-04-08,286.38,-0.3,-0.1,9.39,0.97,1.81
2019-04-09,286.71,0.33,0.12,9.4,0.97,1.81
2019-04-10,287.92,1.21,0.42,9.44,0.97,1.81
2019-04-11,287.42,-0.5,-0.17,9.42,0.97,1.81
2019-04-12,288.37,0.95,0.33,9.45,0.98,1.8
2019-04-15,289.38,1.01,0.35,9.49,0.98,1.8
2019-04-16,290.62,1.24,0.43,9.53,0.98,1.79
2019-04-17,290.33,-0.29,-0.1,9.52,0.98,1.79
2019-04-18,285.82,-4.51,-1.55,9.37,0.97,1.82
2019-04-19,285.89,0.07,0.02,9.37,0.97,1.82
2019-04-22,285.87,-0.02,-0.01,9.37,0.97,1.82
2019-04-23,286.47,0.6,0.21,9.39,0.97,1.81
2019-04-24,283.7,-2.77,-0.97,9.3,0.96,1.83
2019-04-25,282.83,-0.87,-0.31,9.27,0.96,1.84
2019-04-26,281.34,-1.49,-0.53,9.22,0.95,1.85
2019-04-29,286.79,5.45,1.94,9.4,0.97,1.81
2019-04-30,284.92,-1.87,-0.65,9.34,0.96,1.82
2019-05-02,286.12,1.2,0.42,10.02,0.96,2.21
2019-05-03,283.67,-2.45,-0.86,9.94,0.95,2.23
2019-05-07,281.31,-2.36,-0.83,9.86,0.95,2.25
2019-05-08,280.15,-1.16,-0.41,9.81,0.94,2.25
2019-05-09,271.0,-9.15,-3.27,9.49,0.91,2.33
2019-05-10,272.06,1.06,0.39,9.53,0.91,2.32
2019-05-13,268.72,-3.34,-1.23,9.41,0.9,2.35
2019-05-14,268.57,-0.15,-0.06,9.41,0.9,2.35
2019-05-15,269.64,1.07,0.4,9.44,0.91,2.34
2019-05-16,265.99,-3.65,-1.35,9.31,0.89,2.38
2019-05-17,264.35,-1.64,-0.62,9.26,0.89,2.39
2019-05-20,264.96,0.61,0.23,9.28,0.89,2.39
2019-05-21,266.12,1.16,0.44,9.32,0.89,2.38
2019-05-22,266.65,0.53,0.2,9.33,0.9,2.37
2019-05-23,266.38,-0.27,-0.1,9.33,0.89,2.37
2019-05-24,264.42,-1.96,-0.74,9.25,0.89,2.39
2019-05-27,264.4,-0.02,-0.01,9.25,0.89,2.39
2019-05-28,264.7,0.3,0.11,9.26,0.89,2.39
2019-05-29,261.37,-3.33,-1.26,9.15,0.88,2.42
2019-05-30,263.93,2.56,0.98,9.24,0.89,2.4
2019-05-31,263.89,-0.04,-0.02,9.24,0.89,2.4
2019-06-03,268.16,4.27,1.62,10.55,0.88,2.34
2019-06-04,267.66,-0.5,-0.19,10.53,0.88,2.34
2019-06-05,267.99,0.33,0.12,10.54,0.88,2.34
2019-06-07,268.27,0.28,0.1,10.55,0.88,2.33
2019-06-10,272.1,3.83,1.43,10.7,0.9,2.3
2019-06-11,273.21,1.11,0.41,10.75,0.9,2.29
2019-06-12,272.74,-0.47,-0.17,10.73,0.9,2.3
2019-06-13,271.13,-1.61,-0.59,10.67,0.89,2.31
2019-06-14,270.48,-0.65,-0.24,10.77,0.9,2.3
2019-06-17,270.09,-0.39,-0.14,10.75,0.89,2.31
2019-06-18,271.36,1.27,0.47,10.8,0.9,2.29
2019-06-19,275.31,3.95,1.46,10.96,0.91,2.26
2019-06-20,276.01,0.7,0.25,10.99,0.91,2.26
2019-06-21,275.48,-0.53,-0.19,10.97,0.91,2.26
2019-06-24,275.58,0.1,0.04,10.97,0.91,2.26
2019-06-25,275.28,-0.3,-0.11,10.96,0.91,2.26
2019-06-26,275.53,0.25,0.09,10.97,0.91,2.26
2019-06-27,277.75,2.22,0.81,11.06,0.92,2.24
2019-06-28,277.5,-0.25,-0.09,11.05,0.92,2.24
2019-07-01,277.27,-0.23,-0.08,11.04,0.92,2.25
2019-07-02,275.97,-1.3,-0.47,10.99,0.91,2.26
2019-07-03,272.37,-3.6,-1.3,10.84,0.9,2.29
2019-07-04,274.54,2.17,0.8,10.93,0.91,2.27
2019-07-05,274.35,-0.19,-0.07,10.92,0.91,2.27
2019-07-08,268.55,-5.8,-2.11,10.69,0.89,2.32
2019-07-09,267.72,-0.83,-0.31,10.66,0.89,2.33
2019-07-10,268.75,1.03,0.38,10.7,0.89,2.32
