date,open,high,low,close,volume
20211104,14657,14751,14424,14499,3083366
20211105,14612,14667,14489,14657,2293174
20211108,14603,14697,14355,14583,4466795
20211109,14538,14756,14523,14711,2920199
20211110,14612,14642,14296,14305,6470645
20211111,14251,14474,14201,14469,4722996
20211112,14513,14736,14469,14726,2273876
20211115,14786,15093,14761,15088,3733377
20211116,15023,15187,14994,15187,3734029
20211117,15217,15236,14984,14994,2692698
20211118,15014,15078,14850,15033,2375327
20211119,15028,15192,14934,15192,3095152
20211122,15177,15286,14974,15108,3623282
20211123,14999,14999,14687,14702,5613171
20211124,14702,14850,14593,14850,4804724
20211125,14815,14885,14657,14687,3425993
20211126,14682,14806,14499,14578,7283410
20211129,14439,14692,14439,14553,3755161
20211130,14612,14781,14201,14300,4573671
20211201,14399,14469,14063,14380,5936508
20211202,14261,14320,14078,14291,5950638
20211203,14291,14662,14266,14617,3663200
20211206,14513,14538,14330,14444,4185256
20211207,14503,14593,14444,14558,2028596
20211208,14677,14850,14677,14736,2091344
20211209,14697,15053,14677,14984,2910468
20211210,14944,14944,14667,14687,1448377
20211213,14731,14781,14563,14588,1756508
20211214,14513,14627,14484,14543,2172236
20211215,14494,14652,14469,14637,1414383
20211216,14806,14870,14647,14682,3053729
20211217,14553,14607,14395,14464,3281285
20211220,14429,14603,14409,14409,2545794
20211221,14508,14573,14340,14523,2396860
20211222,14652,14652,14499,14528,2312887
20211223,14588,14677,14543,14588,3449514
20211224,14622,14716,14583,14617,2961697
20211227,14617,14806,14578,14781,3017655
20211228,15048,15266,14875,15266,7538536
20211229,15256,15281,14880,14949,8247963
20211230,14974,15018,14766,14924,6428263
20220103,14924,15014,14756,14890,3817663
20220104,14890,14905,14588,14647,4508121
20220105,14558,14622,14310,14320,3351303
20220106,14167,14251,13840,13875,9536996
20220107,14013,14127,13954,14013,13012191
20220110,13894,13949,13721,13771,3926962
20220111,13815,13885,13597,13662,5484509
20220112,13810,14083,13795,14038,4608158
20220113,14008,14053,13795,13825,3525483
20220114,13617,13667,13543,13592,2840751
20220117,13617,13622,13434,13498,3108084
20220118,13513,13696,13256,13320,5852081
20220119,13137,13295,13058,13142,5967799
20220120,13137,13513,13122,13513,7043005
20220121,13355,13444,13167,13280,3413220
20220124,13226,13226,12924,12968,6631747
20220125,13058,13082,12632,12666,9959681
20220126,12731,12835,12424,12439,13973106
20220127,12523,12523,11884,11904,13464631
20220128,11978,12295,11745,12216,18449015
20220203,12439,12602,12419,12468,8498146
20220204,12458,12622,12414,12622,5052717
20220207,12592,12607,12340,12429,3682755
20220208,12458,12582,12236,12354,4228571
20220209,12463,12627,12429,12627,2641292
20220210,12661,12681,12275,12320,4463456
20220211,12092,12226,11983,11988,4885301
20220214,11874,11943,11740,11825,5027471
20220215,11835,11963,11641,11651,5630065
20220216,11884,12255,11874,12255,4880283
20220217,12231,12399,11948,12112,6418673
20220218,11943,12216,11894,12171,5363328
20220221,11953,12211,11874,12196,3352072
20220222,11968,12097,11924,11998,4353757
20220223,12127,12206,12033,12166,4118855
20220224,12033,12033,11775,11790,5599160
20220225,12028,12246,12028,12241,6447560
20220228,12117,12305,12112,12300,3760785
20220302,12255,12562,12246,12493,4401951
20220303,12577,12805,12548,12780,4549018
20220304,12686,12686,11785,12478,5119104
20220307,12265,12394,12137,12226,2898920
20220308,12013,12285,11983,12092,3683150
20220310,12424,12567,12399,12508,3066307
20220311,12548,12657,12439,12478,4474466
20220314,12493,12523,12142,12191,4212069
20220315,12137,12241,12042,12161,5272382
20220316,12354,12518,12310,12508,5959939
20220317,12736,12944,12721,12855,4496749
20220318,12850,12973,12756,12973,4594892
20220321,13038,13038,12770,12770,3971303
20220322,12726,12840,12676,12805,3128315
20220323,12919,13013,12860,12929,3450084
20220324,12805,12934,12706,12869,2984198
20220325,12944,12968,12850,12864,3955018
20220328,12790,12864,12657,12671,3082432
20220329,12770,12914,12760,12914,2671052
20220330,12993,13018,12909,12919,3208203
20220331,12869,13043,12869,13003,3575830
